"Event_id","Event_date","Event_group","involvement","IsProtest","preannounced","public_invitation","disruption","violence","symbolic","arrests","location_target","Event_name","headcount","action_freetext","location_freetext","Event_day","Event_prob_protest","issue"
"ExtinctionR.2019-07-06.E1","2019-07-06","ExtinctionR","Organised","Protest","Before event day","Yes","No","No","No","No","Embassy","solidarity with French activists","","protest","French embassy","Sat",0.999769326787117,"env"
"ExtinctionR.2019-07-06.E2","2019-07-06","ExtinctionR","Organised","Protest","On day, before event","Yes","No","No","Yes","No","Public space","It's time to wake up","","flashmob, die in","shopping district, Plymouth","Sat",0.999769326787117,"env"
"ExtinctionR.2019-07-06.E3","2019-07-06","ExtinctionR","Organised","Protest","After event","No","Yes","No","No","Yes","Company site","Oppose Barclays investments in fossil fuels","4","glued on, locked on","Barclays","Sat",0.999769326787117,"env"
"We_OwnIt.2019-07-06.E1","2019-07-06","We_OwnIt","Organised","Protest","Before event day","Yes","No","No","No","No","Company site","Oppose water privatisation","","demonstration","Southern water HQ","Sat",0.999999999999984,"pov"
"Pride.2019-07-06.E1","2019-07-06","ASLEFunion, EquityUK, NASUWT","Participated, Participated, Participated","Protest","Before event day","Yes","No","No","No","No","Public space","Pride","","march","London","Sat",0.999995241153554,"pov"
"betterthanzero.2019-07-06.E1","2019-07-06","betterthanzero","Organised","Protest","Before event day","Yes","No","No","No","No","Company site","lack support for employees experiencing sexual harassment","","action","'an exploitative employer'","Sat",0.990457196272801,"pov"
"CClimateAction.2019-07-07.E1","2019-07-07","CClimateAction","Organised","Protest","Before event day","Yes","No","No","Yes","No","Public space","act on climate emergency","","die in","Bicester Village shopping centre","Sun",0.999972096099279,"env"
"GreenpeaceUK.2019-07-08.E1","2019-07-08","GreenpeaceUK","Organised","Protest","After event","No","Yes","No","No","Yes","Company site","Oppose fossil fuel finance","80","blocked entrance","Credit Suisse, UBS","Mon",0.804331899,"env"
"NASUWT.2019-07-09.E1","2019-07-09","NASUWT","Organised","Strike","Before event day","No","No","No","No","No","Other","Hasland Hall Community School strike, management practices","","strike","","Tue",0.992305431205825,"pov"
"pcs_union.2019-07-09.E1","2019-07-09","pcs_union","Organised","Strike","Before event day","No","No","No","No","No","Other","Interserve strike","","strike","","Tue",0.986487746980312,"pov"
"IWGBunion.2019-07-11.E1","2019-07-11","IWGBunion","Organised","Protest","After event","No","No","No","No","Yes","Company site","living wage","","protest","5 Hertford Street","Thu",0.938727978772159,"pov"
"ExtinctionR.2019-07-12.E1","2019-07-12","ExtinctionR","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","East London Uprising, the air that we grieve","","march, protest","Bethnal Green","Fri",0.998088268139171,"env"
"IWGBunion.2019-07-12.E1","2019-07-12","IWGBunion","Organised","Protest","After event","No","No","No","Yes","No","Company site","living wage","","flash mob","5 Hertford Street","Fri",0.9621907249052,"pov"
"ExtinctionR.2019-07-13.E1","2019-07-13","ExtinctionR","Organised","Protest","Before event day","Yes","Yes","No","Yes","No","Public space","East London Uprising","","road block, protest, samba drumming","East London","Sat",0.999667078356451,"env"
"ExtinctionR.2019-07-13.E2","2019-07-13","ExtinctionR","Organised","Protest","On day, before event","Yes","No","No","Yes","No","Public space","Fight fast fashion","","fashion show, parade","high street, Birmingham","Sat",0.999667078356451,"env"
"ExtinctionR.2019-07-14.E1","2019-07-14","ExtinctionR","Organised","Protest","Before event day","Yes","Yes","No","Yes","No","Public space","East London Uprising","","occupation, swarming, performance, march","East London","Sun",0.999956033647733,"env"
"fbunational.2019-07-14.E1","2019-07-14","fbunational","Participated","Protest","After event","No","No","No","Yes","No","Public space","Grenfell","","silent walk","","Sun",0.906722247600555,"pov"
"ExtinctionR.2019-07-15.E1","2019-07-15","ExtinctionR","Organised","Protest","Before event day","Yes","Yes","No","No","Yes","Public space","Summer Uprising","","disrupt, blocking vehicles, ","Leeds, Cardiff, London, Bristol, Glasgow","Mon",1,"env"
"pcs_union.2019-07-15.E1","2019-07-15","pcs_union","Organised","Strike","Before event day","No","No","No","No","No","Other","outsourced HMRC cleaners strike","","strike, walkout","","Mon",0.999999999993645,"pov"
"unitetheunion.2019-07-15.E1","2019-07-15","unitetheunion","Organised","Strike","After event","No","No","No","No","No","Other","Lincolnshire health visitors strike","","strike","","Mon",0.980132120901027,"pov"
"FocusE15.2019-07-15.E1","2019-07-15","FocusE15","Participated","Protest","After event","No","No","No","No","No","Political site","Housing is a human right","","demonstration","Newham council meeting","Mon",0.938635888088086,"pov"
"ExtinctionR.2019-07-16.E1","2019-07-16","ExtinctionR","Organised","Protest","After event","No","Yes","No","No","No","Company site","Summer Uprising","","block entrance","London Conrete in Bow","Tue",0.998480734512001,"env"
"xr coalition.2019-07-17.E1","2019-07-17","CClimateAction, ExtinctionR","Organised, Organised","Protest","Before event day","Yes","Yes","No","No","No","Public space","Summer uprising","","swarming, blockade","London, Cardiff, M32","Wed",0.999995929069671,"env"
"pcs_union.2019-07-17.E1","2019-07-17","pcs_union","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","oppose privatisation","","rally","London","Wed",0.999999900204427,"pov"
"xr coalition.2019-07-18.E1","2019-07-18","CClimateAction, ExtinctionR","None, Organised","Protest","On day, before event","No","No","No","No","No","Political site","Tax rebellion","","assemble, tax strike","outside GLA offices","Thu",0.999529644795889,"env"
"xr coalition.2019-07-18.E2","2019-07-18","CClimateAction, ExtinctionR","None, Organised","Protest","On day, before event","Yes","Yes","No","No","No","Political site","No third runway","","disrupt consultation","Heathrow consultation at Wheatsheaf Hall Community Centre","Thu",0.999529644795889,"env"
"pcs_union.2019-07-18.E1","2019-07-18","pcs_union","Organised","Protest","Before event day","No","No","No","No","No","Political site","outsourced workers protest","","demonstration","BEIS","Thu",0.999838235066092,"pov"
"EquityUK.2019-07-18.E1","2019-07-18","EquityUK","Organised","Protest","Before event day","No","No","No","No","No","Court","oppose universal credit minimum income floor","","protest","Royal Courts of Justice","Thu",0.990937094994084,"pov"
"Strike4Youth.2019-07-19.E1","2019-07-19","Strike4Youth","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","Fridays for future","","demonstration, climate strike","60 towns and cities across the UK","Fri",0.999999999999973,"env"
"xr coalition.2019-07-19.E1","2019-07-19","CClimateAction, ExtinctionR","Organised, None","Protest","After event","No","Yes","No","No","No","Public space","","","block","Westminster bridge","Fri",0.999999998775402,"env"
"xr coalition.2019-07-19.E2","2019-07-19","CClimateAction, ExtinctionR","None, Organised","Protest","Before event day","Yes","No","No","Yes","No","Company site","Demand media tell the truth about climate crisis, requiem for a dead planet","","march, protest, performance","newspaper offices","Fri",0.999999998775402,"env"
"GMB_union.2019-07-19.E1","2019-07-19","GMB_union","Organised","Protest","After event","No","No","No","No","No","Company site","health and safety at Amazon","","protest","Amazon sites","Fri",0.903400421142578,"pov"
"UVWunion.2019-07-21.E1","2019-07-21","UVWunion","Participated","Protest","After event","No","No","No","No","No","Public space","Tolpuddle Martyrs March","","march","","Sun",0.929505348205566,"pov"
"pplsassembly.2019-07-22.E1","2019-07-22","pplsassembly","Organised","Protest","Before event day","Yes","No","No","No","No","Political site","Oppose Boris Johnson as PM","","noisy protest","Downing Street","Mon",1,"pov"
"unitetheunion.2019-07-22.E1","2019-07-22","unitetheunion","Organised","Strike","After event","No","No","No","No","No","Public space","Lincolnshire health visitors strike","","march, strike","Boston, Lincolnshire","Mon",0.975638485893964,"pov"
"SOLE_Essex.2019-07-23.E1","2019-07-23","SOLE_Essex","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","Save our libraries","","march","Chelmsford","Tue",0.99999999999997,"pov"
"GreenpeaceUK.2019-07-24.E1","2019-07-24","GreenpeaceUK","Organised","Protest","After event","No","Yes","No","No","No","Political site","stopped Boris Johnson in his tracks, climate emergency","","block pm motorcade","Westminster","Wed",0.677074012607888,"env"
"SistersUncut.2019-07-24.E1","2019-07-24","SistersUncut","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","Oppose Boris Johnson","","protest","Russel Square","Wed",0.999194195818363,"pov"
"unitetheunion.2019-07-24.E1","2019-07-24","unitetheunion","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","Oppose no deal","","banner","opposite Parliament","Wed",0.997008641895123,"pov"
"ExtinctionR.2019-07-25.E1","2019-07-25","ExtinctionR","Organised","Protest","On day, before event","Yes","No","No","Yes","No","Company site","Demand media tell the truth about climate crisis","","semi-naked protest","The Sun HQ","Thu",0.971882218380886,"env"
"Strike4Youth.2019-07-26.E1","2019-07-26","Strike4Youth","Organised","Protest","Before event day","Yes","No","No","No","No","Unknown","heatwave emergency strike","","strike","Manchester","Fri",0.869772851467133,"env"
"reclaimthepower.2019-07-29.E1","2019-07-29","reclaimthepower","Organised","Protest","Before event day","Yes","Yes","No","No","No","Company site","stop racist deportations","","occupation, blockade","Hallmark Coach","Mon",0.999999997362453,"env"
"reclaimthepower.2019-07-29.E2","2019-07-29","reclaimthepower","Organised","Protest","After event","No","No","No","No","No","Political site","stop racist deportations","","mass demo","Home office","Mon",0.999999997362453,"env"
"reclaimthepower.2019-07-30.E1","2019-07-30","reclaimthepower","Organised","Protest","After event","No","Yes","No","No","No","Company site","No new gas infrastructure","","block entrance","Drax building, SSE","Tue",0.998472529009881,"env"
"Stop the Maangamizi.2019-08-01.E1","2019-08-01","CClimateAction, ExtinctionR","Participated, Participated","Protest","Before event day","Yes","No","No","No","No","Public space"," Afrikan Emancipation Day Reparations March","","march","Brixton","Thu",0.99999999999927,"env"
"unitetheunion.2019-08-01.E1","2019-08-01","unitetheunion","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","Stop universal credit","","protest","countrywide","Thu",0.999999999999999,"pov"
"TridentPlough.2019-08-06.E1","2019-08-06","TridentPlough","Organised","Protest","After event","No","No","No","No","No","Company site","Ban nuclear","","protest","Lockheed Martin HQ","Tue",0.928070313606638,"env"
"ExtinctionR.2019-08-08.E1","2019-08-08","ExtinctionR","Organised","Protest","Before event day","Yes","No","No","No","No","Company site","Gail Bradbrook speech at protest","","peaceful, protest","front gates Cuadrilla's site, Preston New Road","Thu",0.996781956793475,"env"
"ExtinctionR.2019-08-09.E1","2019-08-09","ExtinctionR","Organised","Protest","Before event day","Yes","Yes","No","No","No","Public space","oppose Silvertown Tunnel","","swarm","A102, London","Fri",0.994264276170604,"env"
"TridentPlough.2019-08-09.E1","2019-08-09","TridentPlough","Organised","Protest","After event","No","No","No","Yes","No","Entertainment/cultural","ban nuclear","","die in","British museum","Fri",0.888141810894012,"env"
"ExtinctionR.2019-08-10.E1","2019-08-10","ExtinctionR","Organised","Protest","Before event day","Yes","Yes","No","No","No","Public space","","","swarm","John Lewis, Sloane Square","Sat",0.954456399093961,"env"
"pcs_union.2019-08-12.E1","2019-08-12","pcs_union","Organised","Strike","Before event day","No","No","No","No","No","Other","HMRC outsourced workers strike","","strike","","Mon",0.995701326909516,"pov"
"ExtinctionR.2019-08-13.E1","2019-08-13","ExtinctionR","Organised","Protest","Before event day","Yes","No","No","Yes","No","Public space","Remember those lost in struggle for climate justice","","vigil","Parliament square","Tue",0.378354877037341,"env"
"We_OwnIt.2019-08-14.E1","2019-08-14","We_OwnIt","Organised","Protest","On day, before event","Yes","No","No","No","No","Public space","Oppose rail rip off, public ownership of rail","","protest","rail stations","Wed",0.999996841955006,"pov"
"ExtinctionR.2019-08-17.E1","2019-08-17","ExtinctionR","Organised","Protest","Before event day","Yes","No","No","Yes","No","Public space","South east London uprising, Towards the Common procession","","procession, march, funeral dress code","Greenwich","Sat",0.996209413796017,"env"
"ExtinctionR.2019-08-17.E2","2019-08-17","ExtinctionR","Organised","Protest","After event","No","No","No","No","No","Public space","Oppose toxic air","","protest","Bath","Sat",0.996209413796017,"env"
"unitetheunion.2019-08-17.E1","2019-08-17","unitetheunion","Organised","Both","Before event day","No","No","No","No","No","Public space","Lincolnshire health visitors strike","","strike, rally","","Sat",0.939782594399935,"pov"
"ExtinctionR.2019-08-18.E1","2019-08-18","ExtinctionR","Organised","Protest","Before event day","Yes","No","No","Yes","No","Public space","South east London uprising, New Black Death procession","","oil covered animal props, procession","Blackheath common","Sun",0.983919143437572,"env"
"March for Democracy.2019-08-18.E1","2019-08-18","fbunational, pcs_union","Participated, Organised","Protest","Before event day","Yes","No","No","No","No","Public space","Peterloo massacre commemoration","","march, rally","Manchester","Sun",0.999978720611896,"pov"
"earthfirst_uk.2019-08-19.E1","2019-08-19","earthfirst_uk","Organised","Protest","After event","No","Yes","No","No","No","Company site","End coal","40","shut down, climbed on equipment","Hargreaves opencast calming","Mon",0.726828694343567,"env"
"BALPApilots.2019-08-22.E1","2019-08-22","BALPApilots","Organised","Strike","Before event day","No","No","No","No","No","Other","pilot strike","","strike","","Thu",0.997673290558918,"pov"
"Phulbari vigil.2019-08-23.E1","2019-08-23","ExtinctionR, reclaimthepower","Organised, None","Protest","Before event day","Yes","No","No","Yes","No","Other","vigil for Phulbari victims","100s","vigil, rally","Brazilian embassy, London Stock Exchange","Fri",0.99999999985165,"env"
"NASUWT.2019-08-24.E1","2019-08-24","NASUWT","Participated","Protest","After event","No","No","No","No","No","Public space","Pride","","march","","Sat",0.925628781318665,"pov"
"frackfreelancs.2019-08-26.E1","2019-08-26","frackfreelancs","Participated","Protest","After event","No","No","No","No","No","Company site","Oppose fracking","100s","protest","Preston New Road","Mon",0.859048226699393,"env"
"pcs_union.2019-08-28.E1","2019-08-28","pcs_union","Organised","Strike","Before event day","No","No","No","No","No","Other","Universal credit strike","","strike","","Wed",0.958292684823381,"pov"
"unitetheunion.2019-08-29.E1","2019-08-29","unitetheunion","Organised","Protest","Before event day","Yes","No","No","No","No","Political site","bus drivers safety first","","demonstration","London city hall","Thu",0.999995473010924,"pov"
"ExtinctionR.2019-08-30.E1","2019-08-30","ExtinctionR","Organised","Protest","On day, before event","Yes","Yes","No","No","No","Public space","Solidarity with arrestees","","swarm roads","City of London Magistrates Court","Fri",0.999763866692363,"env"
"Strike4Youth.2019-08-31.E1","2019-08-31","Strike4Youth","Participated","Protest","Before event day","Yes","No","No","No","No","Political site","Stop the coup","","protest","Downing street","Sat",0.991136551568122,"env"
"ExtinctionR.2019-08-31.E1","2019-08-31","ExtinctionR","Organised","Protest","Before event day","Yes","No","No","Yes","No","Public space","South west London uprising","","procession, Drum circle ceremony, march","Windrush Square, Brixton","Sat",0.98835258307627,"env"
"ExtinctionR.2019-08-31.E2","2019-08-31","ExtinctionR","Organised","Protest","On day, before event","Yes","No","No","Yes","No","Other","","","die in","Peterborough Cathedral","Sat",0.98835258307627,"env"
"ExtinctionR.2019-08-31.E3","2019-08-31","ExtinctionR","Organised","Protest","Before event day","Yes","Yes","No","No","No","Public space","Northern Rebellion",NA,"road block","Manchester","Sat",0.98835258307627,"env"
"UKChange.2019-08-31.E1","2019-08-31","UKChange","Organised","Protest","After event","No","No","No","No","No","Public space","Defend our democracy, oppose proroguing parliament","","protest","","Sat",0.983383083651762,"pov"
"pplsassembly.2019-08-31.E1","2019-08-31","pplsassembly","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","General election now","","protest","Newcastle, Doncaster","Sat",0.982450533427895,"pov"
