"group_date_id","Event_date","Event_group","involvement","IsProtest","preannounced","public_invitation","disruption","violence","symbolic","arrests","location_target","Event_name","headcount","action_freetext","location_freetext","date_preannounced","n_tweets_about_event_day","n_tweets_about_event_day_weighted","n_articles","n_articles_bm","n_articles_after","n_articles_bm_after","source_ind","source_express","source_guardian","source_dstar","source_mirror","source_sun","source_dm","source_metro","source_telegraph","source_times","source_ft","source_itv","source_four","source_bbc","bm_source_ind","bm_source_express","bm_source_guardian","bm_source_dstar","bm_source_mirror","bm_source_sun","bm_source_dm","bm_source_metro","bm_source_telegraph","bm_source_times","bm_source_ft","bm_source_itv","bm_source_four","bm_source_bbc","issue"
"Dis_PPL_Protest/2011-06-29","2011-06-29","Dis_PPL_Protest","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","Reverse the Bias Towards Segregation","","demonstration, noisy march","Westminster Square","2011-05-11",3,1.84714347158481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"pov"
"CNDuk/2011-06-30","2011-06-30","CNDuk","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","Cut trident","","protest","","2011-06-28",3,1.89488854818046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"env"
"pcs_union/2011-06-30","2011-06-30","pcs_union","Organised","Both","Before event day","Yes","No","No","No","No","Public space","pensions, job cuts and the pay freeze","","strike, rally","Barnsley, Shrewsbury, Doncaster, Wakefield, Hastings, Manchester, Norwich, Preston, London, Bristol, Plymouth, Truro, Brighton, Bradford, Carlisle, Colchester, Glasgow","2011-05-18",52,27.5826817468422,179,164,59,53,16,22,44,6,14,16,15,0,18,21,7,0,0,0,16,22,39,6,14,14,14,0,14,20,5,0,0,0,"pov"
"Ukuncut/2011-06-30","2011-06-30","Ukuncut","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","Big Society Breakfast","","direct action, support picketers in strike","","2011-05-28",7,4.67010459290831,11,3,5,2,2,0,5,0,1,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"pov"
"CNDuk/2011-07-12","2011-07-12","CNDuk","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","Stop Bombing Libya","","protest, demonstration","Old Palace Yard (opposite Parliament)","2011-07-04",3,1.99828177690506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"env"
"ClimateRush/2011-07-13","2011-07-13","ClimateRush","Organised","Protest","Before event day","Yes","Yes","No","Yes","No","Public space","","","road block, marching band, protest","Soho square","2011-07-08",11,5.41418785455794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"env"
"NASUWT/2011-07-14","2011-07-14","NASUWT","Organised","Strike","Before event day","No","No","No","No","No","Other","Tywyn Secondary School strike, pay cuts","","strike","Tywyn Secondary School, Gwynedd","2011-07-13",1,0.890176355838776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"pov"
"GreenpeaceUK/2011-07-18","2011-07-18","GreenpeaceUK","Organised","Protest","After event","No","Yes","No","Yes","No","Company site","demand oil spill response plan","","occupation, polar bear props","Cairn office","2011-07-18",4,2.68347010016441,9,9,9,9,2,1,1,0,0,2,0,1,1,1,0,0,0,0,2,1,1,0,0,2,0,1,1,1,0,0,0,0,"env"
"ClimateRush/2011-07-19","2011-07-19","ClimateRush","Organised","Protest","On day, before event","Yes","No","No","No","No","Public space","Murdoch protest","","protest","Old Palace Yard (opposite Parliament)","2011-07-19",3,1.07689249515533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"env"
"NASUWT/2011-07-20","2011-07-20","NASUWT","Organised","Strike","Before event day","No","No","No","No","No","Other","Whickham School and Sports College, oppose academy conversion","","strike","Whickham School and Sports College, Newcastle-upon-Tyne","2011-07-19",4,2.49691945285416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"pov"
"Dis_PPL_Protest/2011-07-21","2011-07-21","Dis_PPL_Protest","Organised","Protest","Before event day","No","No","No","No","No","Public space","Disability rights","","protest","Chelsea and Kensington, town hall","2011-07-13",3,1.29938687384129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"pov"
"campaigncc/2011-08-03","2011-08-03","campaigncc","Participated","Protest","Before event day","Yes","No","No","No","No","Public space","anti-fracking","","demonstration","Preston","2011-07-28",3,0.895475345950012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"env"
"ClimateRush/2011-08-13","2011-08-13","ClimateRush","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","Give our Kids a Future March","","march","North London","2011-08-11",1,0.846287846565247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"env"
"campaigncc/2011-09-07","2011-09-07","campaigncc","Organised","Protest","Before event day","Yes","No","No","No","No","Company site","Mystery demo against funder of climate change disinformation","","demonstration","Koch Industries HQ","2011-07-26",4,2.51933151078445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"env"
"GreenpeaceUK/2011-09-07","2011-09-07","GreenpeaceUK","Organised","Protest","After event","No","No","No","Yes","No","Company site","Oppose Volkswagon's climate delaying actions","","subvertising, projected images","Battersea power station, eco velocity green car show","2011-09-07",1,0.852441191673279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"env"
"pcs_union, unisontheunion/2011-09-07","2011-09-07","pcs_union, unisontheunion","Participated, Organised","Protest","On day, before event","No","No","No","Yes","No","Public space","NHS demo/vigil","","candlelit vigil, demonstration, protest","outside Parliament","2011-09-07",5,3.02530109104266,2,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"pov"
"GreenpeaceUK/2011-09-10","2011-09-10","GreenpeaceUK","Organised","Protest","After event","No","Yes","No","Yes","No","Company site","Turn Volkswagen away from 'dark side'","","dress up as storm troopers, subvertising, put covers stay 'stop opposing climate action' on cars","Volkswagon dealerships","2011-09-10",6,2.85335389120005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"env"
"campaigncc/2011-09-17","2011-09-17","campaigncc","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","Camp Frack, oppose shale gas drilling in Blackpool","","protest, camp","","2011-06-24",4,1.14626877745142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"env"
"Dis_PPL_Protest/2011-09-18","2011-09-18","Dis_PPL_Protest","Participated","Protest","Before event day","Yes","No","No","No","No","Public space","Right to work rally","","demonstration","","2011-09-01",9,5.49509024647568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"pov"
"ClimateRush/2011-09-22","2011-09-22","ClimateRush","Organised","Protest","Before event day","Yes","No","No","No","No","Political site","cycle/walk for London, demand cleaner and safer city","","protest","TfL offices","2011-09-14",23,2.65691027007284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"env"
"NASUWT/2011-09-29","2011-09-29","NASUWT","Organised","Strike","Before event day","No","No","No","No","No","Other","oppose academies","","strike action","Kingsbury High School, Kingsbury, London","2011-09-20",4,2.33922386177121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"pov"
"Dis_PPL_Protest, Ukuncut/2011-09-30","2011-09-30","Dis_PPL_Protest, Ukuncut","Organised, Organised","Protest","Before event day","Yes","Yes","No","No","No","Company site","Occupy atos","","occupation, protest","ATOS","2011-08-22",9,6.96509280731892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"pov"
